Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
-------------------------------------------------------------------------------------------------------
    0    -1.1129    -0.0030     0.3424     1.8437     0.0044     0.0005    -0.4937       2.17     2.8s
    1    -0.4791    -0.0045     0.2643     1.8750     0.0040     0.0005    -0.4750       1.67     2.4s
    2    -0.2429    -0.0053     0.2217     1.9166     0.0051     0.0005    -0.4520       1.41     2.6s
    3    -0.1210    -0.0083     0.2657     1.9606     0.0055     0.0005    -0.4312       1.24     2.4s
    4    -0.0753    -0.0102     0.4015     1.9836     0.0061     0.0005    -0.4248       1.12     2.8s
    5    -0.0401    -0.0118     0.6346     1.9663     0.0050     0.0005    -0.4409       1.03     2.5s
    6    -0.0271    -0.0118     0.4931     1.9199     0.0060     0.0005    -0.4676       0.96     2.5s
    7    -0.0185    -0.0097     0.3862     1.8619     0.0055     0.0005    -0.4968       0.91     2.5s
    8    -0.0141    -0.0086     0.2015     1.8047     0.0050     0.0005    -0.5255       0.86     2.5s
    9    -0.0112    -0.0072     0.0744     1.7446     0.0051     0.0005    -0.5543       0.82     2.5s
   10    -0.0090    -0.0072     0.0479     1.6809     0.0045     0.0005    -0.5897       0.78     2.5s
   11    -0.0072    -0.0062     0.0369     1.6121     0.0057     0.0005    -0.6246       0.75     2.5s
   12    -0.0060    -0.0058     0.0278     1.5456     0.0061     0.0005    -0.6580       0.72     2.5s
   13    -0.0057    -0.0040     0.0351     1.4813     0.0054     0.0005    -0.6874       0.70     2.5s
   14    -0.0047    -0.0037     0.0387     1.4217     0.0039     0.0005    -0.7193       0.67     2.5s
   15    -0.0042    -0.0036     0.0313     1.3624     0.0036     0.0005    -0.7467       0.65     2.6s
   16    -0.0034    -0.0039     0.0377     1.3136     0.0051     0.0005    -0.7697       0.64     2.5s
   17    -0.0030    -0.0041     0.0416     1.2540     0.0043     0.0005    -0.8048       0.62     2.5s
   18    -0.0024    -0.0027     0.0519     1.2002     0.0041     0.0005    -0.8266       0.60     2.5s
   19    -0.0021    -0.0039     0.0441     1.1571     0.0051     0.0005    -0.8481       0.59     2.5s
   20    -0.0016    -0.0025     0.0309     1.1195     0.0047     0.0005    -0.8643       0.57     2.6s
   21    -0.0014    -0.0033     0.0423     1.0664     0.0035     0.0004    -0.8982       0.56     2.5s
   22    -0.0012    -0.0035     0.0343     1.0069     0.0052     0.0004    -0.9245       0.55     2.4s
   23    -0.0007    -0.0020     0.0266     0.9651     0.0040     0.0004    -0.9441       0.54     2.5s
   24    -0.0007    -0.0016     0.0250     0.9280     0.0038     0.0004    -0.9611       0.53     2.4s
   25    -0.0008    -0.0024     0.0317     0.9027     0.0051     0.0004    -0.9712       0.52     2.5s
   26    -0.0004    -0.0025     0.0163     0.8630     0.0036     0.0004    -0.9974       0.51     2.5s
   27    -0.0004    -0.0014     0.0130     0.8219     0.0034     0.0004    -1.0143       0.50     2.6s
   28    -0.0003    -0.0008     0.0098     0.7975     0.0035     0.0004    -1.0235       0.49     2.5s
   29    -0.0003    -0.0004     0.0098     0.7823     0.0024     0.0004    -1.0310       0.48     2.5s
   30    -0.0003    -0.0018     0.0080     0.7610     0.0038     0.0004    -1.0439       0.47     2.4s
   31    -0.0002    -0.0006     0.0080     0.7442     0.0025     0.0004    -1.0482       0.47     2.5s
   32    -0.0002    -0.0009     0.0069     0.7201     0.0023     0.0004    -1.0662       0.46     2.4s
   33    -0.0001    -0.0003     0.0030     0.6970     0.0038     0.0004    -1.0723       0.45     2.4s
   34    -0.0002    -0.0005     0.0067     0.6825     0.0035     0.0004    -1.0803       0.45     2.5s
   35    -0.0002     0.0003     0.0073     0.6606     0.0029     0.0004    -1.0936       0.44     2.4s
   36    -0.0001     0.0002     0.0059     0.6471     0.0025     0.0004    -1.0981       0.44     2.5s
   37    -0.0001    -0.0001     0.0052     0.6345     0.0027     0.0004    -1.1083       0.43     2.6s
   38    -0.0001    -0.0000     0.0033     0.6181     0.0029     0.0004    -1.1102       0.42     2.4s
   39    -0.0001     0.0004     0.0032     0.6112     0.0028     0.0004    -1.1153       0.42     2.5s
   40    -0.0001    -0.0010     0.0063     0.5975     0.0040     0.0004    -1.1246       0.41     2.6s
   41    -0.0001    -0.0003     0.0066     0.5811     0.0030     0.0004    -1.1316       0.41     2.4s
   42    -0.0001    -0.0008     0.0053     0.5641     0.0042     0.0004    -1.1402       0.40     2.5s
   43    -0.0000    -0.0008     0.0029     0.5479     0.0032     0.0004    -1.1479       0.40     2.5s
   44    -0.0000     0.0004     0.0016     0.5366     0.0025     0.0004    -1.1538       0.40     2.6s
   45    -0.0000     0.0002     0.0017     0.5388     0.0028     0.0004    -1.1460       0.39     2.5s
   46    -0.0001    -0.0002     0.0036     0.5491     0.0023     0.0004    -1.1429       0.39     2.5s
   47    -0.0001    -0.0009     0.0030     0.5403     0.0032     0.0004    -1.1559       0.38     2.5s
   48    -0.0001     0.0001     0.0029     0.5234     0.0023     0.0004    -1.1573       0.38     2.5s
