Grid search: 18 combinations x 10 sims each
  n_sigma:  [0.0, 0.1, 0.2, 0.5, 1.0, 2.0]
  lambda2:  [0.0, 1.5, 10.0]
  Base:     output/experiment2
  Output:   output/grid7_*/
============================================================

============================================================
[1/18] n_sigma=0.0, lambda2=0.0
  Output: output/grid7_ns0.0_l20.0
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid7_ns0.0_l20.0/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=0.0, tau=20, lambda2=0.0

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
-------------------------------------------------------------------------------------------------------
    0    -0.0000    -0.0042     0.8923     1.8182     0.0034     0.0005    -0.5177       0.00     4.5s
    1    -0.0002    -0.0013     0.8988     1.8039     0.0020     0.0005    -0.5160       0.01     4.4s
    2    -0.0003    -0.0010     0.9134     1.7959     0.0025     0.0005    -0.5249       0.01     4.4s
    3    -0.0002    -0.0027     0.9195     1.7874     0.0027     0.0005    -0.5250       0.01     4.4s
    4    -0.0001    -0.0009     0.8648     1.7881     0.0032     0.0005    -0.5251       0.01     4.3s
    5     0.0001    -0.0010     0.8623     1.7881     0.0018     0.0005    -0.5249       0.01     4.3s
    6    -0.0002    -0.0027     0.8684     1.7726     0.0033     0.0005    -0.5399       0.01     4.9s
    7    -0.0002    -0.0014     0.8808     1.7574     0.0029     0.0005    -0.5419       0.01     4.1s
    8    -0.0003    -0.0014     0.8998     1.7460     0.0030     0.0005    -0.5500       0.01     3.9s
    9    -0.0002    -0.0012     0.9048     1.7309     0.0014     0.0005    -0.5578       0.01     4.3s
   10    -0.0005    -0.0020     0.8517     1.7229     0.0027     0.0005    -0.5572       0.01     4.1s
   11    -0.0004    -0.0020     0.8442     1.7171     0.0042     0.0005    -0.5640       0.01     4.2s
   12    -0.0004    -0.0016     0.9159     1.6958     0.0018     0.0005    -0.5784       0.01     4.3s
   13    -0.0004    -0.0021     0.8290     1.6771     0.0038     0.0005    -0.5825       0.01     4.3s
   14    -0.0004    -0.0013     0.8645     1.6664     0.0031     0.0005    -0.5896       0.01     4.3s
   15    -0.0002    -0.0031     0.8955     1.6541     0.0055     0.0005    -0.5939       0.01     4.2s
   16    -0.0003    -0.0012     0.8342     1.6367     0.0028     0.0005    -0.6080       0.01     4.3s
   17    -0.0003    -0.0011     0.8103     1.6110     0.0027     0.0005    -0.6181       0.01     4.2s
   18    -0.0002    -0.0007     0.8483     1.5978     0.0016     0.0005    -0.6220       0.01     4.2s
   19    -0.0001    -0.0012     0.8099     1.5849     0.0035     0.0005    -0.6303       0.01     4.2s
   20    -0.0001    -0.0015     0.8487     1.5766     0.0034     0.0005    -0.6299       0.01     4.3s
   21    -0.0004    -0.0010     0.9595     1.5817     0.0018     0.0004    -0.6259       0.01     4.2s
   22    -0.0003    -0.0014     0.9135     1.5919     0.0047     0.0004    -0.6205       0.01     4.3s
   23    -0.0011    -0.0010     0.7753     1.6019     0.0022     0.0004    -0.6160       0.01     4.2s
   24    -0.0002    -0.0009     0.7984     1.6030     0.0008     0.0004    -0.6190       0.01     4.2s
   25    -0.0003    -0.0017     0.7917     1.5944     0.0015     0.0004    -0.6238       0.01     4.2s
   26    -0.0002    -0.0012     0.8511     1.5790     0.0029     0.0004    -0.6344       0.01     4.2s
   27    -0.0004    -0.0020     0.8565     1.5676     0.0021     0.0004    -0.6354       0.01     4.3s
   28    -0.0003    -0.0039     0.7896     1.5765     0.0042     0.0004    -0.6264       0.01     4.2s
   29    -0.0006    -0.0005     0.7410     1.5854     0.0014     0.0004    -0.6271       0.01     4.3s
   30    -0.0002    -0.0013     0.9747     1.5807     0.0037     0.0004    -0.6310       0.01     4.2s
   31    -0.0002    -0.0012     0.8608     1.5714     0.0020     0.0004    -0.6354       0.01     4.2s
   32    -0.0013    -0.0015     0.4824     1.5752     0.0033     0.0004    -0.6259       0.01     4.2s
   33    -0.0004    -0.0024     0.8393     1.5769     0.0021     0.0004    -0.6350       0.01     4.2s
   34    -0.0002    -0.0011     0.8051     1.5643     0.0016     0.0004    -0.6386       0.01     4.2s
   35    -0.0001    -0.0021     0.8166     1.5531     0.0027     0.0004    -0.6462       0.01     4.2s
   36    -0.0003    -0.0012     0.8327     1.5503     0.0027     0.0004    -0.6425       0.01     4.2s
   37    -0.0004    -0.0005     0.8204     1.5529     0.0030     0.0004    -0.6423       0.01     4.0s
   38    -0.0006    -0.0028     0.8187     1.5524     0.0039     0.0004    -0.6416       0.01     4.2s
